斥,岿,老,矫埃,瘤开,惯傈樊,碍荐樊,浅加,浅氢,嚼档,老炼矫埃,老荤樊,傈款樊,矫沥
2017,1,11,0,何魂,0.0,0.0,1.3,70.0,46.0,0.0,0.0,0.0,2000.0
2017,1,11,1,何魂,0.0,0.0,1.1,270.0,47.0,0.0,0.0,0.0,2000.0
2017,1,11,2,何魂,0.0,0.0,2.1,360.0,45.0,0.0,0.0,0.0,2000.0
2017,1,11,3,何魂,0.0,0.0,2.1,360.0,40.0,0.0,0.0,0.0,2000.0
2017,1,11,4,何魂,0.0,0.0,2.2,50.0,37.0,0.0,0.0,0.0,2000.0
2017,1,11,5,何魂,0.0,0.0,2.3,20.0,36.0,0.0,0.0,0.0,2000.0
2017,1,11,6,何魂,0.0,0.0,2.9,20.0,34.0,0.0,0.0,0.0,2000.0
2017,1,11,7,何魂,0.0,0.0,2.1,140.0,34.0,0.0,0.0,4.0,2000.0
2017,1,11,8,何魂,0.06,0.0,2.2,70.0,27.0,0.3,0.04,4.0,2000.0
2017,1,11,9,何魂,3.11,0.0,4.4,360.0,22.0,0.9,0.38,2.0,2000.0
2017,1,11,10,何魂,12.88,0.0,3.6,360.0,23.0,1.0,0.97,2.0,2000.0
2017,1,11,11,何魂,14.83,0.0,2.4,360.0,19.0,1.0,1.1,3.0,2000.0
2017,1,11,12,何魂,27.23,0.0,2.0,70.0,19.0,1.0,1.93,2.0,2000.0
2017,1,11,13,何魂,30.09,0.0,3.8,360.0,24.0,1.0,2.0,2.0,2000.0
2017,1,11,14,何魂,28.49,0.0,3.8,290.0,26.0,1.0,1.85,2.0,2000.0
2017,1,11,15,何魂,24.27,0.0,3.6,320.0,26.0,1.0,1.55,0.0,2000.0
2017,1,11,16,何魂,16.11,0.0,3.3,270.0,26.0,1.0,1.02,0.0,2000.0
2017,1,11,17,何魂,4.76,0.0,4.7,270.0,29.0,1.0,0.44,0.0,2000.0
2017,1,11,18,何魂,0.23,0.0,2.4,270.0,31.0,0.2,0.03,0.0,2000.0
2017,1,11,19,何魂,0.0,0.0,1.9,270.0,34.0,0.0,0.0,0.0,2000.0
2017,1,11,20,何魂,0.0,0.0,1.5,290.0,35.0,0.0,0.0,0.0,2000.0
2017,1,11,21,何魂,0.0,0.0,3.2,290.0,46.0,0.0,0.0,5.0,2000.0
2017,1,11,22,何魂,0.0,0.0,3.4,270.0,50.0,0.0,0.0,0.0,2000.0
2017,1,11,23,何魂,0.0,0.0,4.3,290.0,48.0,0.0,0.0,0.0,2000.0
2017,1,12,0,何魂,0.0,0.0,1.4,180.0,47.0,0.0,0.0,8.0,2000.0
2017,1,12,1,何魂,0.0,0.0,1.5,90.0,47.0,0.0,0.0,0.0,2000.0
