"죄종별(1)",죄종별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상
"죄종별(1)",죄종별(2),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"지능범죄",직권남용,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"지능범죄",증수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,4,-,1,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
"지능범죄",통화,13,-,-,-,-,-,-,13,-,27,-,-,-,-,-,-,23,4,29,-,-,-,-,-,-,26,3,18,-,-,-,-,-,-,15,3,7,-,-,-,-,-,-,6,1,21,-,-,-,-,-,-,18,3,6,-,-,-,-,-,-,5,1,5,-,-,-,-,-,-,4,1
"지능범죄",문서·인장,1368,-,-,-,-,-,15,1277,76,1519,-,-,-,-,-,24,1415,80,1661,-,-,-,-,-,40,1527,94,1408,-,-,-,-,-,24,1301,83,1242,-,-,-,-,2,18,1154,68,1070,-,-,-,-,-,29,994,47,983,1,-,1,-,-,11,902,69,581,-,-,-,-,-,18,533,30
"지능범죄",유가증권인지,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,15,2,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,3,-,9,-,-,-,-,-,-,9,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",사기,6418,2,2,-,-,-,22,4981,1413,8471,-,-,-,-,-,52,6115,2304,7731,1,1,-,-,-,28,5616,2086,6512,2,2,-,-,-,13,4863,1634,6751,1,-,-,1,-,46,5211,1493,7788,4,2,2,-,3,33,6161,1587,9115,2,1,-,1,-,40,7374,1699,7491,1,-,1,-,-,21,6213,1256
"지능범죄",횡령,1413,1,1,-,-,2,12,1270,128,1672,1,1,-,-,-,14,1535,122,1652,-,-,-,-,-,13,1512,127,1596,-,-,-,-,-,12,1434,150,1529,-,-,-,-,-,18,1389,122,1396,-,-,-,-,-,15,1243,138,1367,-,-,-,-,-,22,1221,124,1099,-,-,-,-,-,14,984,101
"지능범죄",배임,9,-,-,-,-,-,-,3,6,14,-,-,-,-,-,-,8,6,22,-,-,-,-,-,-,15,7,10,-,-,-,-,-,-,5,5,4,-,-,-,-,-,-,1,3,8,-,-,-,-,-,-,2,6,12,-,-,-,-,-,-,9,3,5,-,-,-,-,-,-,2,3
"풍속범죄",소계,1916,-,-,-,-,-,15,1842,59,2124,-,-,-,-,-,22,2045,57,2804,-,-,-,-,-,21,2704,79,2441,-,-,-,-,-,24,2264,153,2528,-,-,-,-,-,35,2362,131,2489,1,1,-,-,-,49,2268,171,3244,-,-,-,-,-,27,2961,256,3628,1,-,1,-,-,38,3278,311
"풍속범죄",성풍속범죄,1700,-,-,-,-,-,15,1630,55,1836,-,-,-,-,-,22,1764,50,2064,-,-,-,-,-,21,1974,69,2159,-,-,-,-,-,24,1990,145,2362,-,-,-,-,-,35,2200,127,2246,1,1,-,-,-,49,2034,162,2894,-,-,-,-,-,27,2628,239,3444,1,-,1,-,-,38,3105,300
"풍속범죄",도박범죄,216,-,-,-,-,-,-,212,4,288,-,-,-,-,-,-,281,7,740,-,-,-,-,-,-,730,10,282,-,-,-,-,-,-,274,8,166,-,-,-,-,-,-,162,4,243,-,-,-,-,-,-,234,9,350,-,-,-,-,-,-,333,17,184,-,-,-,-,-,-,173,11
"특별경제범죄",소계,2360,-,-,-,-,-,36,1580,744,3750,-,-,-,-,-,19,2416,1315,1959,-,-,-,-,-,28,1345,586,1571,-,-,-,-,-,33,1094,444,1197,-,-,-,-,-,16,917,264,1355,-,-,-,-,-,29,1095,231,1065,-,-,-,-,-,24,826,215,763,-,-,-,-,-,9,547,207
"마약범죄",소계,130,92,9,42,41,-,-,35,3,151,21,-,15,6,-,-,116,14,102,11,-,4,7,-,-,84,7,113,12,1,6,5,-,-,95,6,141,72,1,33,38,-,-,59,10,193,98,1,58,39,-,-,86,9,321,172,28,92,52,-,-,138,11,342,166,38,70,58,-,-,155,21
"보건범죄",소계,102,-,-,-,-,-,1,90,11,71,-,-,-,-,-,-,58,13,82,-,-,-,-,-,1,70,11,69,-,-,-,-,-,1,50,18,69,-,-,-,-,-,-,59,10,82,-,-,-,-,-,2,72,8,229,1,1,-,-,-,9,194,25,753,-,-,-,-,-,3,692,58
"환경범죄",소계,8,-,-,-,-,-,-,7,1,5,-,-,-,-,-,-,3,2,12,-,-,-,-,-,-,10,2,5,-,-,-,-,-,-,5,-,7,-,-,-,-,-,-,5,2,10,-,-,-,-,-,-,8,2,2,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-
"교통범죄",소계,15137,-,-,-,-,1,1837,10274,3025,15865,-,-,-,-,1,1735,10499,3630,15159,-,-,-,-,-,1505,10135,3519,14078,1,1,-,-,-,1416,9760,2901,11004,1,-,1,-,-,1211,7545,2247,10406,1,1,-,-,-,1010,7253,2142,10877,-,-,-,-,-,942,7829,2106,10020,-,-,-,-,-,897,7176,1947
"노동범죄",소계,3,-,-,-,-,-,-,2,1,7,-,-,-,-,-,-,7,-,14,-,-,-,-,-,-,14,-,7,-,-,-,-,-,-,6,1,9,-,-,-,-,-,-,7,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,2,1
"안보범죄",소계,2,-,-,-,-,-,-,1,1,6,-,-,-,-,-,-,5,1,4,-,-,-,-,-,-,3,1,7,-,-,-,-,-,-,7,-,3,-,-,-,-,-,-,3,-,5,-,-,-,-,-,-,5,-,6,-,-,-,-,-,-,4,2,4,-,-,-,-,-,-,1,3
"선거범죄",소계,29,-,-,-,-,-,1,26,2,2,-,-,-,-,-,-,2,-,11,-,-,-,-,-,3,5,3,23,-,-,-,-,-,-,21,2,32,-,-,-,-,-,-,28,4,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,56,3,7,-,-,-,-,-,-,6,1
"병역범죄",소계,433,-,-,-,-,-,-,419,14,408,-,-,-,-,-,-,396,12,356,-,-,-,-,-,-,342,14,345,-,-,-,-,-,-,333,12,309,-,-,-,-,-,-,294,15,261,-,-,-,-,-,-,254,7,50,-,-,-,-,-,-,45,5,34,-,-,-,-,-,-,30,4
"기타범죄",소계,8584,4,1,-,3,64,196,6813,1507,9874,2,1,-,1,72,189,7469,2142,10935,1,-,-,1,105,171,8370,2288,9844,3,-,-,3,81,133,7399,2228,8854,2,-,-,2,41,184,6565,2062,8629,1,1,-,-,28,151,6392,2057,8804,2,-,-,2,10,172,6661,1959,8220,1,1,-,-,8,173,6166,1872
