"범죄별(1)",범죄별(2),범죄별(3),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"형법범",위조범죄,유가증권/인지/우표,616,-,-,-,-,-,-,239,377,462,-,-,-,-,-,-,170,292,425,-,-,-,-,-,-,142,283,406,-,-,-,-,-,-,163,243,342,2,0,0,2,0,0,90,250,267,-,-,-,-,1,-,76,190,140,-,-,-,-,-,-,45,95,88,-,-,-,-,-,-,28,60
"형법범",위조범죄,문서,22011,5,-,1,4,-,37,10201,11768,21085,1,-,-,1,-,40,9684,11360,19633,1,-,-,1,1,57,9123,10451,17969,1,1,-,-,-,44,7779,10145,17714,3,2,0,1,2,31,7036,10642,18840,4,3,1,-,1,51,7401,11383,17518,5,1,2,2,-,19,6753,10741,12865,5,2,-,3,1,23,5321,7515
"형법범",위조범죄,인장,571,2,2,-,-,-,2,405,162,631,-,-,-,-,-,4,407,220,701,1,-,1,-,-,4,466,230,601,-,-,-,-,-,3,378,220,489,0,0,0,0,0,1,278,210,532,-,-,-,-,-,5,274,253,523,-,-,-,-,-,1,286,236,439,-,-,-,-,-,2,282,155
"형법범",공무원범죄,소계,4228,1,1,-,-,-,3,1027,3197,4951,-,-,-,-,-,-,1048,3903,5049,1,1,-,-,-,2,1052,3994,6161,-,-,-,-,-,1,1265,4895,8519,1,1,0,0,0,1,1211,7306,7250,-,-,-,-,-,-,1031,6219,7379,-,-,-,-,-,1,845,6533,5268,-,-,-,-,-,-,719,4549
"형법범",공무원범죄,직무유기,1564,1,1,-,-,-,-,168,1395,1685,-,-,-,-,-,-,196,1489,2020,-,-,-,-,-,-,195,1825,2063,-,-,-,-,-,-,146,1917,2766,0,0,0,0,0,0,112,2654,2601,-,-,-,-,-,-,129,2472,3289,-,-,-,-,-,-,93,3196,1787,-,-,-,-,-,-,120,1667
"형법범",공무원범죄,직권남용,1224,-,-,-,-,-,-,86,1138,1423,-,-,-,-,-,-,115,1308,1558,-,-,-,-,-,-,115,1443,2175,-,-,-,-,-,-,156,2019,3998,1,1,0,0,0,0,232,3765,3170,-,-,-,-,-,-,184,2986,2866,-,-,-,-,-,-,172,2694,2501,-,-,-,-,-,-,179,2322
"형법범",공무원범죄,수뢰,929,-,-,-,-,-,2,497,430,1129,-,-,-,-,-,-,452,677,919,-,-,-,-,-,-,463,456,1257,-,-,-,-,-,-,648,609,1289,0,0,0,0,0,1,659,629,1064,-,-,-,-,-,-,505,559,973,-,-,-,-,-,1,451,521,699,-,-,-,-,-,-,271,428
"형법범",공무원범죄,증뢰,511,-,-,-,-,-,1,276,234,714,-,-,-,-,-,-,285,429,552,1,1,-,-,-,2,279,270,666,-,-,-,-,-,1,315,350,466,0,0,0,0,0,0,208,258,415,-,-,-,-,-,-,213,202,251,-,-,-,-,-,-,129,122,281,-,-,-,-,-,-,149,132
"형법범",풍속범죄,소계,28367,2,-,-,2,-,675,25531,2159,30324,7,4,-,3,-,547,27210,2560,35809,6,2,-,4,-,475,32817,2511,26941,4,1,-,3,-,477,23729,2731,22560,12,6,4,2,0,517,19322,2709,24687,4,3,-,1,-,524,21336,2823,23434,5,-,3,2,-,581,20432,2416,16755,8,2,3,3,-,491,14255,2001
"형법범",풍속범죄,도박과복표,26503,2,-,-,2,-,573,24139,1789,28252,2,1,-,1,-,415,25655,2180,33323,2,1,-,1,-,332,30955,2034,23918,3,1,-,2,-,269,21494,2152,19526,9,5,4,0,0,338,17357,1822,21326,3,2,-,1,-,323,19100,1900,21024,1,-,1,-,-,382,18666,1975,14348,5,-,3,2,-,336,12483,1524
