"범죄별(1)",범죄별(2),범죄별(3),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"형법범",풍속범죄,소계,20152,2,-,-,2,-,577,19528,45,21162,7,4,-,3,-,450,20667,38,23659,6,2,-,4,-,378,23233,42,18213,2,-,-,2,-,393,17785,33,15150,12,6,4,2,0,419,14685,34,16217,3,2,0,1,0,434,15757,23,14929,4,-,2,2,-,477,14438,10,10888,5,2,1,2,-,398,10477,8
"형법범",풍속범죄,도박과복표,19141,2,-,-,2,-,492,18608,39,20029,2,1,-,1,-,344,19649,34,22298,2,1,-,1,-,265,21995,36,16558,1,-,-,1,-,229,16297,31,13734,9,5,4,0,0,285,13416,24,14647,3,2,0,1,0,280,14345,19,13632,-,-,-,-,-,324,13299,9,9668,3,-,1,2,-,292,9368,5
"형법범",풍속범죄,신앙,122,-,-,-,-,-,1,119,2,121,-,-,-,-,-,3,116,2,138,-,-,-,-,-,1,137,-,120,1,-,-,1,-,2,117,-,187,0,0,0,0,0,0,185,2,192,0,0,0,0,0,1,191,0,64,2,-,1,1,-,1,61,-,76,-,-,-,-,-,1,74,1
"형법범",풍속범죄,기타음란행위,889,-,-,-,-,-,84,801,4,1012,5,3,-,2,-,103,902,2,1223,4,1,-,3,-,112,1101,6,1535,-,-,-,-,-,162,1371,2,1229,3,1,0,2,0,134,1084,8,1378,0,0,0,0,0,153,1221,4,1233,2,-,1,1,-,152,1078,1,1144,2,2,-,-,-,105,1035,2
"형법범",과실범죄,소계,3825,4,1,-,3,-,80,3716,25,3940,-,-,-,-,-,57,3854,29,4225,1,-,-,1,-,50,4156,18,4502,-,-,-,-,-,39,4433,30,4434,4,0,1,3,0,89,4316,25,4602,1,1,0,0,1,80,4504,16,4421,2,1,-,1,-,68,4336,15,3988,-,-,-,-,-,61,3916,11
"형법범",과실범죄,과실치사상,709,2,1,-,1,-,46,653,8,783,-,-,-,-,-,32,736,15,801,-,-,-,-,-,23,776,2,889,-,-,-,-,-,24,851,14,943,2,0,1,1,0,54,880,7,991,0,0,0,0,0,54,932,5,966,1,1,-,-,-,42,921,2,846,-,-,-,-,-,28,812,6
"형법범",과실범죄,업무상과실치사상,2217,2,-,-,2,-,7,2193,15,2220,-,-,-,-,-,2,2204,14,2405,-,-,-,-,-,1,2390,14,2479,-,-,-,-,-,-,2464,15,2412,2,0,0,2,0,5,2387,18,2461,1,1,0,0,0,1,2448,11,2368,-,-,-,-,-,2,2353,13,2202,-,-,-,-,-,3,2194,5
"형법범",과실범죄,실화,899,-,-,-,-,-,27,870,2,937,-,-,-,-,-,23,914,-,1019,1,-,-,1,-,26,990,2,1134,-,-,-,-,-,15,1118,1,1079,0,0,0,0,0,30,1049,0,1150,0,0,0,0,1,25,1124,0,1087,1,-,-,1,-,24,1062,-,940,-,-,-,-,-,30,910,-
"형법범",기타형법범죄,소계,53569,23,7,1,15,3,6826,46255,462,52387,32,9,1,22,-,5626,46245,484,54706,17,7,-,10,5,5394,48864,426,49479,18,7,1,10,5,5068,44018,370,47942,35,8,7,20,1,5483,42084,339,48761,26,8,6,12,2,5389,43010,334,46951,24,8,3,13,2,5153,41543,229,39191,27,4,3,20,-,4193,34756,215
"형법범",기타형법범죄,명예,12120,5,2,1,2,-,960,11046,109,10959,2,-,-,2,-,542,10310,105,10440,3,3,-,-,1,447,9884,105,9390,-,-,-,-,-,415,8890,85,9458,5,3,1,1,0,476,8906,71,10061,4,2,0,2,0,463,9507,87,9631,2,1,-,1,-,356,9211,62,8527,3,2,-,1,-,305,8156,63
"형법범",기타형법범죄,권리행사방해,1892,1,-,-,1,-,4,1842,45,2320,1,-,-,1,-,3,2288,28,3093,-,-,-,-,-,2,3030,61,4025,3,1,-,2,-,6,3954,62,3648,6,3,1,2,0,4,3582,56,2935,5,1,0,4,0,4,2873,53,2150,2,2,-,-,-,5,2121,22,1539,1,-,-,1,-,2,1511,25
"형법범",기타형법범죄,신용업무경매,17346,2,1,-,1,-,2631,14642,71,18145,8,4,1,3,-,2530,15476,131,19193,6,2,-,4,-,2520,16617,50,17206,5,1,1,3,-,2399,14764,38,16644,6,0,1,5,0,2632,13968,38,16647,3,1,2,0,0,2462,14153,29,15856,3,1,-,2,-,2299,13514,40,11597,1,-,-,1,-,1643,9921,32
"형법범",기타형법범죄,주거침입,4626,1,1,-,-,1,546,4053,25,5038,-,-,-,-,-,496,4521,21,5882,2,-,-,2,1,526,5325,28,5623,3,1,-,2,2,502,5095,21,6504,4,0,0,4,1,664,5819,16,7542,2,1,0,1,1,792,6731,16,7868,4,1,1,2,1,788,7059,16,7702,8,1,1,6,-,735,6936,23
"형법범",기타형법범죄,비밀침해,18,-,-,-,-,-,-,18,-,9,-,-,-,-,-,1,8,-,18,-,-,-,-,-,-,18,-,12,-,-,-,-,-,-,12,-,24,0,0,0,0,0,0,24,0,23,0,0,0,0,0,0,23,0,19,-,-,-,-,-,1,18,-,19,-,-,-,-,-,-,19,-
"형법범",기타형법범죄,유기,53,-,-,-,-,-,1,52,-,40,-,-,-,-,-,-,40,-,35,-,-,-,-,-,2,33,-,52,-,-,-,-,-,3,49,-,54,0,0,0,0,0,0,54,0,49,0,0,0,0,0,2,47,0,33,1,-,-,1,-,-,31,1,53,-,-,-,-,-,1,52,-
"형법범",기타형법범죄,교통방해,1284,1,1,-,-,1,25,1252,5,1187,-,-,-,-,-,30,1156,1,1417,-,-,-,-,-,17,1395,5,836,-,-,-,-,-,13,819,4,788,0,0,0,0,0,16,768,4,790,2,1,1,0,0,13,772,3,839,-,-,-,-,-,15,819,5,816,-,-,-,-,-,11,803,2
