"죄종별(1)",죄종별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상
"죄종별(1)",죄종별(2),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"지능범죄",직권남용,55,-,-,-,-,-,-,4,51,74,-,-,-,-,-,-,6,68,65,-,-,-,-,-,-,13,52,81,-,-,-,-,-,-,14,67,114,-,-,-,-,-,-,24,90,140,-,-,-,-,-,-,13,127,237,-,-,-,-,-,-,21,216,118,-,-,-,-,-,-,12,106
"지능범죄",증수뢰,46,-,-,-,-,-,-,29,17,71,-,-,-,-,-,-,55,16,58,-,-,-,-,-,-,39,19,105,-,-,-,-,-,-,77,28,198,-,-,-,-,-,-,164,34,128,-,-,-,-,-,-,97,31,117,-,-,-,-,-,-,65,52,103,-,-,-,-,-,-,50,53
"지능범죄",통화,13,-,-,-,-,-,-,7,6,14,-,-,-,-,-,-,7,7,13,-,-,-,-,-,-,10,3,22,-,-,-,-,-,-,13,9,20,-,-,-,-,-,-,13,7,23,-,-,-,-,-,-,9,14,14,-,-,-,-,-,-,1,13,4,-,-,-,-,-,-,1,3
"지능범죄",문서·인장,5165,2,1,-,1,-,15,2916,2232,5001,-,-,-,-,-,9,2759,2233,4861,-,-,-,-,-,32,2629,2200,4248,-,-,-,-,-,23,2245,1980,4222,1,1,-,-,-,19,2061,2141,4362,-,-,-,-,-,22,2210,2130,4187,-,-,-,-,-,8,1948,2231,3108,1,-,-,1,-,15,1561,1531
"지능범죄",유가증권인지,70,-,-,-,-,-,-,21,49,52,-,-,-,-,-,-,23,29,55,-,-,-,-,-,-,15,40,48,-,-,-,-,-,-,19,29,47,-,-,-,-,-,-,20,27,38,-,-,-,-,-,-,10,28,22,-,-,-,-,-,-,8,14,11,-,-,-,-,-,-,3,8
"지능범죄",사기,47941,10,5,-,5,1,45,22123,25762,50990,2,1,-,1,-,55,23855,27078,49385,11,8,-,3,-,65,23036,26273,46374,2,-,-,2,-,69,22065,24238,53319,13,4,2,7,-,90,25695,27521,57952,13,4,4,5,1,90,29584,28264,55328,11,3,2,6,-,89,26419,28809,37534,10,2,3,5,-,52,20932,16540
"지능범죄",횡령,6641,-,-,-,-,-,13,3214,3414,7483,-,-,-,-,-,10,3821,3652,7590,-,-,-,-,-,13,4077,3500,7517,-,-,-,-,-,15,4415,3087,8303,1,-,1,-,-,34,4649,3619,8401,1,-,-,1,-,19,4685,3696,8825,-,-,-,-,-,30,4955,3840,7466,1,1,-,-,-,27,4592,2846
"지능범죄",배임,1644,-,-,-,-,-,2,593,1049,1455,-,-,-,-,-,-,459,996,1470,-,-,-,-,-,-,459,1011,1364,-,-,-,-,-,-,404,960,1552,-,-,-,-,-,-,503,1049,1614,-,-,-,-,-,-,392,1222,1650,-,-,-,-,-,-,410,1240,1124,-,-,-,-,-,-,337,787
"풍속범죄",소계,7015,1,-,-,1,-,35,5457,1522,6575,-,-,-,-,-,35,5488,1052,5276,-,-,-,-,-,22,4706,548,4522,1,-,-,1,-,16,3952,553,4064,-,-,-,-,-,23,3499,542,4001,1,-,-,1,-,26,3387,587,3593,1,-,-,1,-,20,2915,657,2720,2,-,1,1,-,34,2253,431
"풍속범죄",성풍속범죄,2242,1,-,-,1,-,16,1145,1080,965,-,-,-,-,-,6,469,490,499,-,-,-,-,-,5,383,111,547,1,-,-,1,-,10,402,134,604,-,-,-,-,-,8,465,131,564,1,-,-,1,-,18,395,150,589,1,-,-,1,-,14,429,145,737,-,-,-,-,-,11,550,176
"풍속범죄",도박범죄,4773,-,-,-,-,-,19,4312,442,5610,-,-,-,-,-,29,5019,562,4777,-,-,-,-,-,17,4323,437,3975,-,-,-,-,-,6,3550,419,3460,-,-,-,-,-,15,3034,411,3437,-,-,-,-,-,8,2992,437,3004,-,-,-,-,-,6,2486,512,1983,2,-,1,1,-,23,1703,255
"특별경제범죄",소계,19565,-,-,-,-,-,238,11729,7598,21554,-,-,-,-,-,247,12912,8395,17792,-,-,-,-,-,216,11358,6218,16682,1,-,-,1,-,220,11063,5398,18361,2,1,1,-,-,263,12277,5819,20694,3,1,1,1,-,240,14739,5712,17472,2,1,-,1,-,217,11591,5662,11406,2,1,-,1,-,163,7367,3874
"마약범죄",소계,903,393,33,31,329,-,-,435,75,1579,118,9,11,98,-,1,1362,98,1983,124,12,12,100,-,-,1703,156,2064,152,14,22,116,-,-,1756,156,1993,705,64,48,593,-,3,1139,146,2461,978,109,106,763,-,1,1289,193,3227,1101,141,95,865,-,1,1876,249,2679,1116,123,122,871,-,-,1294,269
"보건범죄",소계,10503,-,-,-,-,-,44,9239,1220,9680,-,-,-,-,-,22,8331,1327,10170,-,-,-,-,-,17,8871,1282,9545,-,-,-,-,-,31,8023,1491,9262,1,-,-,1,-,21,7847,1393,9795,1,-,1,-,-,29,8242,1523,11148,6,3,-,3,-,33,9180,1929,16639,3,1,1,1,-,104,14466,2066
"환경범죄",소계,380,-,-,-,-,-,1,309,70,358,-,-,-,-,-,-,276,82,410,-,-,-,-,-,-,332,78,464,-,-,-,-,-,-,382,82,436,-,-,-,-,-,-,357,79,644,-,-,-,-,-,1,509,134,318,-,-,-,-,-,-,224,94,302,-,-,-,-,-,-,239,63
"교통범죄",소계,76768,2,2,-,-,-,10580,37317,28869,81720,2,-,1,1,-,9962,37866,33890,82288,6,2,-,4,1,9204,37178,35899,74215,4,-,-,4,-,8974,33146,32091,68451,14,3,-,11,-,8466,28248,31723,69293,9,1,-,8,-,6820,27112,35352,63638,9,-,-,9,1,6968,23993,32667,55815,19,-,2,17,-,6721,22194,26881
"노동범죄",소계,552,-,-,-,-,-,-,489,63,667,-,-,-,-,-,-,602,65,2356,-,-,-,-,-,-,2233,123,2047,-,-,-,-,-,-,1894,153,785,-,-,-,-,-,-,704,81,168,-,-,-,-,-,-,126,42,133,-,-,-,-,-,-,106,27,162,-,-,-,-,-,-,139,23
"안보범죄",소계,15,-,-,-,-,-,-,10,5,32,-,-,-,-,-,-,26,6,18,-,-,-,-,-,-,9,9,47,-,-,-,-,-,-,42,5,30,-,-,-,-,-,-,20,10,99,-,-,-,-,-,-,71,28,103,-,-,-,-,-,-,97,6,138,-,-,-,-,-,-,97,41
"선거범죄",소계,532,-,-,-,-,-,1,425,106,114,-,-,-,-,-,-,101,13,304,-,-,-,-,-,1,211,92,182,-,-,-,-,-,-,127,55,773,-,-,-,-,-,2,572,199,162,-,-,-,-,-,-,118,44,549,-,-,-,-,-,-,279,270,58,-,-,-,-,-,-,32,26
"병역범죄",소계,133,-,-,-,-,-,-,121,12,96,-,-,-,-,-,-,85,11,131,-,-,-,-,-,-,117,14,168,-,-,-,-,-,-,150,18,183,-,-,-,-,-,-,160,23,161,-,-,-,-,-,-,144,17,12,-,-,-,-,-,-,9,3,1,-,-,-,-,-,-,1,-
"기타범죄",소계,62331,13,4,1,8,49,570,45968,15731,64101,12,1,-,11,43,484,45683,17879,75625,1,-,-,1,38,485,54938,20163,71328,6,1,-,5,58,495,50388,20381,67193,30,8,2,20,65,517,44967,21614,70720,27,6,4,17,113,631,46130,23819,66275,28,2,1,25,26,611,41319,24291,59454,31,6,3,22,11,632,39191,19589
